vp	file	rhotic_label	rhotic_start	rhotic_end	rhotic_dur	rhotic_mid	no_closures_total	rhotic_centre_of_gravity	rhotic_sd	rhotic_skewness	rhotic_kurtosis	rhotic_central_moment	rhotic_intensity	rhotic_intensity_norm
1	vp001_Bitte_Frist0	u_f_2_u	1.266349	1.3446602340337284	0.07831123403372842	0.7114857340337284	0	1641.56	1483.64	2.23	5.66	7292884046.69	45.76	66.01
1	vp001_Bitte_Rest0	u_f_2_vu	1.5080965189084374	1.6269721903938357	0.11887567148539824	0.872923930939617	0	2274.76	2411.18	1.65	1.84	23090660234.47	52.39	71.72
1	vp001_Bitte_Rolle0	u_f_3_vu	0.9611963494016927	1.0768747254674784	0.11567837606578568	0.5962765507666321	0	3147.61	2759.37	0.59	-1.29	12301822657	52.5	70.07
1	vp001_Danke_Krone0	u_f_2_u	1.3229071189514372	1.465941	0.14303388104856274	0.8044874405242813	0	3402.52	2274.9	0.68	-0.46	8049571013.32	46.2	69.18
1	vp001_Danke_druecken0	u_f_2_u	1.2828485196743056	1.3684000317675278	0.0855515120932222	0.726975771930375	0	2077.04	703.21	6.2	58.59	2155936947.05	44.73	67.07
1	vp001_Ohne_Schrott0	u_f_2_u	1.6620556570349196	1.766070472454007	0.10401481541908741	0.9350426439365472	0	1021.55	822.28	4.31	33.25	2398396552.45	41.62	64.1
1	vp001_Ohne_diskret0	u_f_2_u	1.2713314825796447	1.385941	0.11460951742035541	0.7502752587101778	0	1159.74	1142.9	3.84	22.86	5728259300.5	50.55	71.43
2	vp002_Bitte_Australien0	u_f_2_u	1.3510354332629626	1.426761483270492	0.07572605000752941	0.7512437666390107	0	1924.11	2170.7	2.09	4.07	21336137209.52	52.76	65.08
2	vp002_Bitte_Regen0	u_f_1_u	0.8787992804143829	0.9371825543872218	0.05838327397283882	0.4977829141800303	0	3929.21	3173.89	0.64	-0.92	20375912075.43	54.25	64.11
2	vp002_Danke_Mikrowelle0	u_f_1_u	1.0677361416668094	1.1418165361344454	0.07408039446763603	0.6079484653010407	0	990.84	614.65	1.54	1.91	356920565.34	49.73	62.49
2	vp002_Danke_schraeg0	u_f_1_s	0.941932211796057	1.008543717312879	0.06661150551682204	0.5375776114148505	0	915.31	1090.89	4.12	19.41	5346795163.07	50.42	63.51
2	vp002_Danke_unterschreiben0	u_f_2_u	1.2153122466425272	1.287350540941988	0.07203829429946085	0.6796944176207245	0	1480.04	1366.28	2.78	10.61	7088815845.45	51.99	63.48
2	vp002_Ohne_Rippe0	u_f_2_v	0.7082124629894496	0.7613431253604296	0.053130662370979964	0.4072368938657048	0	3191.79	2551.98	1.17	0.56	19367179131.97	64.02	74.65
3	vp003_Bitte_Einschraenkung0	u_f_2_u	1.1386069773537895	1.20020419172461	0.06159721437082055	0.6309007030477153	0	3313.63	2670.66	1.1	0.23	21043328149.2	51.33	67.1
3	vp003_Bitte_Profit0	u_f_2_u	0.8332733562039766	0.8995038349104929	0.06623047870651633	0.4828671568085046	0	1969.63	2441.68	2.44	4.98	35464003962.85	47.94	63.06
3	vp003_Danke_Geruch0	u_f_2_v	1.0100369500890796	1.0734736029159708	0.06343665282689126	0.568455127871431	0	2803.51	2407.85	1.34	1.24	18714259987.5	58.82	72.74
3	vp003_Danke_Rind0	u_f_2_v	1.0019078783883162	1.065533	0.06362512161168388	0.564579060805842	0	2085.78	2520.02	1.93	2.34	30960934378.11	59.7	76.19
3	vp003_Danke_bekreuzigen0	u_f_2_u	0.8227803779778414	0.8859495112189777	0.06316913324113627	0.474559322230057	0	1315.59	1027.34	2.28	11.26	2472518719.75	51.87	68.03
3	vp003_Ohne_Krabbe0	u_f_3_u	0.792292905902741	0.8743781578629277	0.08208525196018668	0.4782317049115572	0	6082.43	3229.69	-0.41	-1.19	-13957236777.84	53.45	66.44
4	vp004_Bitte_Afrika0	u_f_2_u	0.8727895285246107	0.9234734148742154	0.050683886349604745	0.4870786506119101	0	826.59	698.05	6	53.44	2040609884.77	49.36	58.49
4	vp004_Bitte_Australien0	u_f_2_u	0.7040756950294979	0.7549471098631709	0.05087141483367308	0.402909262348422	0	3339.35	3069.34	0.75	-0.58	21641983759.75	51.28	62.49
4	vp004_Bitte_Befragung0	u_f_2_u	0.623317910175427	0.6941362592750915	0.07081834909966445	0.38247730418737796	0	1011.31	806.76	2.05	6.62	1078021708.26	56.07	64.41
4	vp004_Bitte_Beitrag0	u_f_2_u	0.8387005362507669	0.916508	0.07780746374923309	0.49715773187461654	0	1223.9	645.34	1.15	8.6	308676378.6	53.23	62.43
4	vp004_Bitte_Brise0	u_f_2_v	0.9427478741497741	1.0032368177582764	0.06048894360850232	0.5318628806833894	0	2747.67	2920.97	1.3	0.27	32291728692.66	63.15	74.54
4	vp004_Bitte_Brunnen0	u_f_2_v	0.546969614668475	0.6099164171751098	0.06294680250663476	0.3364316098408723	0	1846.35	2465.57	2.02	3.2	30315902536.08	61.96	75.64
4	vp004_Bitte_Chronologie0	u_f_2_u	0.366939	0.43903286623424337	0.07209386623424335	0.25556336623424336	0	2185.86	1455.08	1.19	1.98	3669714803.98	46.77	61.1
4	vp004_Bitte_Draht1	u_t_2_v	0.7483084297599266	0.8008527163517585	0.05254428659183186	0.42669850147179517	2	2494.53	2175.42	1.69	2.28	17384156894.15	65.72	75.86
4	vp004_Bitte_Dramatik0	u_a_2_v	0.6496426055986632	0.684637520471511	0.03499491487284789	0.3598162176721795	0	3474.29	2827.83	1	0.22	22535449034.66	60.88	71.05
4	vp004_Bitte_Dressur0	u_a_2_v	0.6330519706277924	0.6634367034711016	0.030384732843309226	0.3469107181572054	0	1038.52	1590.56	3.53	12.77	14207036502.23	64.46	77.74
4	vp004_Bitte_Einschraenkung0	u_f_2_u	0.6079314358887123	0.6618315012727688	0.05390006538405645	0.3578657833284126	0	1275.74	533.73	2.11	23.42	321135552.86	53.68	64.31
4	vp004_Bitte_Euro0	u_t_2_u	0.7587306019273463	0.8109562356595792	0.05222563373223288	0.43159093469590604	3	3852.95	2998.02	1.02	-0.4	27605190608.95	55.01	66.17
4	vp004_Bitte_Express0	u_f_1_u	1.026032	1.0853390493328618	0.059307049332861794	0.5723230493328618	0	761.89	1037.45	5.95	39.89	6647247811.83	54.53	63.88
4	vp004_Bitte_Fortschritt0	u_f_2_u	0.8765915667946507	0.9360480403382396	0.05945647354358896	0.4977522569409143	0	1444.1	960.89	2.3	13.55	2037583987.54	52.61	62.39
4	vp004_Bitte_Fracht0	u_f_2_u	0.6707554986189315	0.7214454106358256	0.0506899120168941	0.38606766132635983	0	899.45	928.98	2.82	10.42	2259390748.95	51.93	61.08
4	vp004_Bitte_Frage0	u_f_2_u	0.6150449181427223	0.682433997185932	0.06738907904320968	0.37491153811457084	0	794.4	530.78	7.02	65.72	1049746934.04	53.97	64.7
4	vp004_Bitte_Fragment0	u_f_2_u	0.7452025092499915	0.786122	0.04091949075000845	0.4135207453750042	0	3104.07	3201.22	1.32	0.23	43190274620.12	57.74	67.48
4	vp004_Bitte_Fraktion0	u_f_2_u	0.8129422873007053	0.8650541141356171	0.05211182683491178	0.4585829704852644	0	2211.75	2416.45	1.86	2.39	26176401672.54	57.34	69.34
4	vp004_Bitte_Franken0	u_t_2_u	0.7831886534425113	0.8483063062814513	0.06511765283894	0.45671197956019566	2	3333.51	2560.39	0.92	-0.11	15467415507.99	49.39	62.82
4	vp004_Bitte_Franzose0	u_a_1_v	0.7470810080170048	0.7744994098737205	0.027418401856715624	0.40095890586521804	0	2957.09	2378.38	1.27	1.09	17153119496.93	55.4	68.99
