cat	init	count	target	condition	stress	type	syl_count	vowel_phon_ipa	preceding_consonant	SUBTLEX	dlex	maus_ipa	partner_word	vowel_short	vowel_cat
initial_unstressed_a	FALSE	1	einrahmen	präfix	unstressed	sylinitial	3	aː		0.83	0.16	ʔˈaɪn.raː.mən	Rahmen	a	a
initial_unstressed_a	FALSE	2	ausrasten	präfix	unstressed	sylinitial	3	a		2.91	0.07	ʔˈaʊs.ras.tən	Rast	a	a
initial_unstressed_a	FALSE	3	Jura	kein_präfix	unstressed	sylinitial	2	a		2.48	3.79	jˈuː.ra		a	a
initial_unstressed_a	FALSE	4	heiraten	kein_präfix	unstressed	sylinitial	2	aː		118.82	14.52	hˈaɪ.raː.tən	Rat	a	a
initial_stressed_a	FALSE	1	Beratung	präfix	stressed	sylinitial	3	aː		2.4	26.77	bə.rˈaː.tʊŋ	Rat	a	a
initial_stressed_a	FALSE	2	Umrandung	präfix	stressed	sylinitial	3	a		NA	0.43	ʔʊm.rˈan.dʊŋ	Rand	a	a
initial_stressed_a	FALSE	3	Moral	kein_präfix	stressed	sylinitial	2	aː		11.58	23.53	mo.rˈaːl		a	a
initial_stressed_a	FALSE	4	Charakter	kein_präfix	stressed	sylinitial	3	a		13.86	81.06	ka.rˈak.tɐ		a	a
initial_unstressed_vorne	FALSE	1	Einrichtung	präfix	unstressed	sylinitial	2	ɪ		10.63	33.52	ʔˈaɪn.rɪç.tʊŋ	Richter	i	front vowel
initial_unstressed_vorne	FALSE	2	Unrecht	präfix	unstressed	sylinitial	3	ɛ		25	22.99	ʔˈʊn.rɛçt	Recht	e/ae	front vowel
initial_unstressed_vorne	FALSE	3	Nachricht	kein_präfix	unstressed	sylinitial	2	ɪ		104.81	31.49	nˈaːx.rɪçt	Richter	i	front vowel
initial_unstressed_vorne	FALSE	4	schwierig	kein_präfix	unstressed	sylinitial	2	ɪ		59.33	18.65	ʃvˈiː.rɪç		i	front vowel
initial_stressed_vorne	FALSE	1	berühmt	präfix	stressed	sylinitial	3	yː		18.7	8.57	bə.rˈyːmt		ue	front vowel
initial_stressed_vorne	FALSE	2	berieseln	präfix	stressed	sylinitial	3	iː		0.04	0.09	bə.rˈiː.zəln	Riese	i	front vowel
initial_stressed_vorne	FALSE	3	Zigarette	kein_präfix	stressed	sylinitial	2	ɛ		20.99	18.05	tsi.ɡa.rˈɛt.ə	Rettung	e/ae	front vowel
initial_stressed_vorne	FALSE	4	Gericht	kein_präfix	stressed	sylinitial	2	ɪ		45.4	62.32	ɡə.rˈɪçt	Richter	i	front vowel
initial_unstressed_hinten	FALSE	1	einrollen	präfix	unstressed	sylinitial	3	ɔ		0.28	0.1	ʔˈaɪn.rɔl.ən	Rolle	o	back vowel
initial_unstressed_hinten	FALSE	2	Anruf	präfix	unstressed	sylinitial	2	uː		76.07	5.17	ʔˈan.ruːf	Ruf	u	back vowel
initial_unstressed_hinten	FALSE	3	Virus	kein_präfix	unstressed	sylinitial	2	ʊ		42.36	1.86	vˈiː.rʊs	rustikal	u	back vowel
initial_unstressed_hinten	FALSE	4	Euro	kein_präfix	unstressed	sylinitial	2	o		7.83	1.37	ʔˈɔʏ.ro		o	back vowel
initial_stressed_hinten	FALSE	1	umrunden	präfix	stressed	sylinitial	3	ʊ		0.08	0.16	ʔʊm.rˈʊn.dən	Runde	u	back vowel
initial_stressed_hinten	FALSE	2	beruhigen	präfix	stressed	sylinitial	4	uː		39.57	7.86	bə.rˈuː.ɪ.ɡən	ruhig	u	back vowel
initial_stressed_hinten	FALSE	3	Geruch	kein_präfix	stressed	sylinitial	3	ʊ		20.63	16.7	ɡə.rˈʊx		u	back vowel
initial_stressed_hinten	FALSE	4	Beruf	kein_präfix	stressed	sylinitial	2	uː		23.78	37.59	bə.rˈuːf	Ruf	u	back vowel
initial_stressed_a	TRUE	1	Ratte	target	stressed	wordinitial	2	a		22.28	2.31	rˈat.ə		a	a
initial_stressed_a	TRUE	2	Rand	target	stressed	wordinitial	2	a		10.67	23.34	rˈant	Umrandung	a	a
initial_stressed_a	TRUE	3	Rat	target	stressed	wordinitial	1	aː		53.98	66.99	rˈaːt	Beratung. heiraten	a	a
initial_stressed_a	TRUE	4	Rahmen	target	stressed	wordinitial	2	aː		7.24	97.01	rˈaː.mən	einrahmen	a	a
initial_stressed_a	TRUE	5	Rathaus	target	stressed	wordinitial	2	aː		6.85	8.44	rˈaːt.haʊs		a	a
initial_stressed_a	TRUE	6	Radio	target	stressed	wordinitial	3	aː		34.49	28.02	rˈaː.djo		a	a
initial_stressed_a	TRUE	7	Rast	target	stressed	wordinitial	2	a		5.12	3.16	rˈast	ausrasten	a	a
initial_unstressed_a	TRUE	1	Rabatt	target	unstressed	wordinitial	2	a		4.88	1.77	ra.bˈat		a	a
initial_unstressed_a	TRUE	2	Rakete	target	unstressed	wordinitial	3	a		16.02	3.51	rak.ˈeː.tə		a	a
initial_unstressed_a	TRUE	3	radikal	target	unstressed	wordinitial	3	a		1.81	6.29	ra.di.kˈaːl		a	a
initial_unstressed_a	TRUE	4	Rapunzel	target	unstressed	wordinitial	3	aː		0.24	0.04	rˈaː.pʊn.tsəl		a	a
initial_unstressed_a	TRUE	5	Radieschen	target	unstressed	wordinitial	3	aː		0.98	1.1	rˈaː.diː.ʃən		a	a
