participant	group
vp001	u
vp002	u
vp003	u
vp004	u
vp005	u
vp006	u
vp009	u
vp011	u
vp012	u
vp013	u
vp014	u
vp015	u
vp016	u
vp017	u
vp018	u
vp019	u
vp026	u
vp027	u
vp029	u
vp030	u
vp031	u
vp033	u
vp034	u
vp036	u
vp037	u
vp039	u
vp048	u
vp052	u
vp007	u
vp020	u
vp021	u
vp022	u
vp024	u
vp025	u
vp032	u
vp038	u
vp041	u
vp044	u
vp045	u
vp046	u
vp049	u
vp008	a
vp028	a
vp042	a
vp047	a
vp050	a
vp053	a
vp054	a
vp055	a
vp056	a
vp058	a
vp059	a
vp060	a
vp010	a
vp023	a
vp040	a
vp043	a
vp051	a
vp062	a
vp035	mix
