Client family name	Sequence #	Time of sample in annot	Time of sample in recording	Date Time of recording	Prompt	Annotation Title	X0 DLC_Tongue	Y0 DLC_Tongue	X1 DLC_Tongue	Y1 DLC_Tongue	X2 DLC_Tongue	Y2 DLC_Tongue	X3 DLC_Tongue	Y3 DLC_Tongue	X4 DLC_Tongue	Y4 DLC_Tongue	X5 DLC_Tongue	Y5 DLC_Tongue	X6 DLC_Tongue	Y6 DLC_Tongue	X7 DLC_Tongue	Y7 DLC_Tongue	X8 DLC_Tongue	Y8 DLC_Tongue	X9 DLC_Tongue	Y9 DLC_Tongue	X10 DLC_Tongue	Y10 DLC_Tongue
vp038	6	0.0116	0.6787	19.03.2025 19:05:10	Bitte Kredit	r	-53.5291	-34.1179	-62.9301	-23.6271	-64.7349	-9.9484	-56.5478	-0.3675	-46.7783	6.3733	-36.6858	10.0893	-25.0142	10.0729	-19.2383	7.5412	-13.9634	5.7807	-7.5436	4.7007	0.7546	5.3493
vp038	6	0.0239	0.6910	19.03.2025 19:05:10	Bitte Kredit	r	-52.7668	-35.0040	-61.6858	-24.8630	-64.4493	-11.4615	-57.7545	-2.1722	-47.9958	5.8071	-36.0805	10.4888	-23.5154	9.8892	-18.3754	8.2620	-13.1470	6.7048	-7.6915	5.4515	0.0906	5.8013
vp038	6	0.0362	0.7033	19.03.2025 19:05:10	Bitte Kredit	r	-49.0697	-35.4726	-56.4094	-23.6578	-60.8661	-11.5129	-56.8279	-1.4831	-47.3805	5.2010	-37.6863	9.4274	-26.6534	11.0939	-21.5418	9.8446	-16.0620	7.6829	-11.7793	5.7970	-8.4933	3.7756
vp038	6	0.0484	0.7155	19.03.2025 19:05:10	Bitte Kredit	r	-52.1555	-35.7270	-59.8138	-24.7630	-62.3832	-11.4619	-56.3651	-1.1687	-45.6170	5.6981	-35.7898	10.2916	-23.8736	10.9802	-18.1365	9.5267	-12.5917	7.6231	-7.8250	6.2464	1.9035	9.9163
vp038	7	0.0035	0.7616	19.03.2025 19:05:15	Bitte Zigarette	r	-51.5385	-39.7400	-57.8614	-29.3582	-57.6322	-16.8460	-54.3976	-6.1288	-48.2008	3.5370	-38.6412	8.3668	-27.4049	5.4010	-22.2502	2.5370	-16.2937	1.1163	-11.0085	-0.0260	-4.8235	-0.3168
vp038	7	0.0157	0.7739	19.03.2025 19:05:15	Bitte Zigarette	r	-51.5764	-38.7694	-57.4845	-28.1153	-58.0954	-16.2385	-55.1223	-5.7847	-49.0536	3.8365	-40.6194	8.3232	-29.0819	6.4584	-23.9709	3.9005	-18.3945	2.4016	-12.8240	1.4618	-7.5915	-1.4179
vp038	7	0.0280	0.7861	19.03.2025 19:05:15	Bitte Zigarette	r	-50.9122	-39.1609	-57.3289	-28.3866	-58.1189	-16.3888	-54.9624	-5.6406	-48.7909	4.0238	-40.6424	8.7449	-29.0876	6.4999	-23.5146	3.4099	-17.4228	2.3374	-12.4819	3.0149	-4.9449	3.2188
vp038	7	0.0403	0.7984	19.03.2025 19:05:15	Bitte Zigarette	r	-51.2161	-37.9118	-58.0733	-27.3080	-57.8623	-15.3891	-54.1656	-4.8015	-47.8701	4.3286	-40.3358	8.8221	-28.6043	7.4137	-23.0605	5.1870	-17.7595	3.3657	-11.7762	3.5255	-3.8180	1.0812
vp038	7	0.0525	0.8106	19.03.2025 19:05:15	Bitte Zigarette	r	-51.0909	-38.1672	-56.7930	-26.8858	-56.9993	-15.0971	-53.9477	-4.7626	-46.6162	5.1563	-39.3250	9.3448	-27.6261	8.3330	-21.7107	6.0003	-16.0120	4.9992	-10.5958	4.4133	-3.7499	4.0325
vp038	8	0.0069	0.6240	19.03.2025 19:05:19	Ohne Kröte	r	-50.0412	-36.4545	-55.8150	-24.7698	-58.3275	-12.5193	-55.0306	-1.0120	-44.4776	6.3231	-35.1485	9.8535	-23.2311	8.1866	-17.3576	6.1032	-12.3930	3.5710	-7.4269	-0.1452	-1.7264	-5.5687
